t,VA,VB,TB
0,5,1,20
100,4.16714,1.66788,44.5844
200,3.41011,2.05459,49.1808
300,2.7289,2.26254,49.7638
400,2.12351,2.34693,48.9592
500,1.59396,2.34308,47.4631
600,1.14023,2.27565,45.5015
700,0.762326,2.16278,43.1433
800,0.460265,2.01824,40.3896
900,0.234069,1.85273,37.2031
1000,0.083906,1.67452,33.5103
1100,0.0140871,1.48589,29.016
1200,-0.00902294,1.32415,25.0615
1300,-0.00902294,1.20238,22.2964
1400,-0.00902294,1.12509,20.9776
1500,-0.00902294,1.0768,20.3978
1600,-0.00902294,1.04694,20.1571
1700,-0.00902294,1.02861,20.0608
1800,-0.00902294,1.01741,20.0233
1900,-0.00902294,1.01058,20.0088
2000,-0.00902294,1.00643,20.0033
